# time   signal
0.000000000000000000e+00 1.020711608331063616e+02
3.095338983050847403e+01 1.080141325052598518e+02
6.190677966101694807e+01 1.089114188457885746e+02
9.286016949152542566e+01 1.053831704951331432e+02
1.238135593220338961e+02 1.080427742186178222e+02
1.547669491525423666e+02 1.035193693265220105e+02
1.857203389830508513e+02 1.087575901786654384e+02
2.166737288135593360e+02 9.302580980979280412e+01
2.476271186440677923e+02 9.355313303175425688e+01
2.785805084745762770e+02 9.724734021817018004e+01
3.095338983050847332e+02 9.928324928206097866e+01
3.404872881355932464e+02 9.614812963000491663e+01
3.714406779661017026e+02 1.093763751846046972e+02
4.023940677966101589e+02 1.032901148678873255e+02
4.333474576271186720e+02 1.055950303107498200e+02
4.643008474576270714e+02 1.065388951381059570e+02
4.952542372881355845e+02 1.061045656682924516e+02
5.262076271186440408e+02 1.109582502893211142e+02
5.571610169491525539e+02 1.023653446669837876e+02
5.881144067796609534e+02 9.682393563443240225e+01
6.190677966101694665e+02 9.696912580780876567e+01
6.500211864406779796e+02 9.889560357563732396e+01
6.809745762711864927e+02 9.399565869316853650e+01
7.119279661016948921e+02 1.006438136559638536e+02
7.428813559322034052e+02 9.773594870698438797e+01
7.738347457627118047e+02 1.034915094804076148e+02
8.047881355932203178e+02 9.675400345982330919e+01
8.357415254237288309e+02 1.134747205659461287e+02
8.666949152542373440e+02 1.079737269351224427e+02
8.976483050847458571e+02 9.991655222433828953e+01
9.286016949152541429e+02 1.012461035984038062e+02
9.595550847457627697e+02 9.854798448593685123e+01
9.905084745762711691e+02 9.021934144873688410e+01
1.021461864406779569e+03 1.038132193195069846e+02
1.052415254237288082e+03 1.031543463169503383e+02
1.083368644067796595e+03 8.713765722876459563e+01
1.114322033898305108e+03 9.373939417565227927e+01
1.145275423728813621e+03 1.112016616453327913e+02
1.176228813559321907e+03 1.092411351690932690e+02
1.207182203389830647e+03 9.768362742836656309e+01
1.238135593220338933e+03 9.520598159061434274e+01
1.269088983050847446e+03 1.031020413951168848e+02
1.300042372881355959e+03 9.159046785560981618e+01
1.330995762711864245e+03 9.647757335663281708e+01
1.361949152542372985e+03 9.476783975015906947e+01
1.392902542372881271e+03 1.034439579443270532e+02
1.423855932203389784e+03 1.015250190602593960e+02
1.454809322033898297e+03 1.077153162387449754e+02
1.485762711864406810e+03 1.060551361313967789e+02
1.516716101694915324e+03 1.074890892842990695e+02
1.547669491525423609e+03 9.911128962874015258e+01
1.578622881355932350e+03 9.715601346685349426e+01
1.609576271186440636e+03 1.021732101074221220e+02
1.640529661016949149e+03 9.993639307389611304e+01
1.671483050847457662e+03 9.951208306772204537e+01
1.702436440677965948e+03 9.869558822696103562e+01
1.733389830508474688e+03 9.287278737484221836e+01
1.764343220338982974e+03 9.527749998368147999e+01
1.795296610169491714e+03 1.019348002304788992e+02
1.826250000000000000e+03 9.302094118490894914e+01
