# Temperature Energy Magnetization
4.000000000000000000e+00 -1.360000000000000000e+02 4.000000000000000083e-02
4.000000000000000000e+00 -9.600000000000000000e+01 2.000000000000000042e-02
4.000000000000000000e+00 -8.000000000000000000e+01 1.199999999999999956e-01
4.000000000000000000e+00 -9.600000000000000000e+01 4.000000000000000083e-02
4.000000000000000000e+00 -4.800000000000000000e+01 2.000000000000000042e-02
4.000000000000000000e+00 -5.600000000000000000e+01 1.199999999999999956e-01
4.000000000000000000e+00 -1.520000000000000000e+02 4.000000000000000222e-01
4.000000000000000000e+00 -1.360000000000000000e+02 2.000000000000000042e-02
4.000000000000000000e+00 -9.600000000000000000e+01 4.199999999999999845e-01
4.000000000000000000e+00 -6.400000000000000000e+01 1.199999999999999956e-01
4.000000000000000000e+00 -7.200000000000000000e+01 1.600000000000000033e-01
4.000000000000000000e+00 -1.280000000000000000e+02 4.000000000000000083e-02
4.000000000000000000e+00 -1.040000000000000000e+02 8.000000000000000167e-02
4.000000000000000000e+00 -1.040000000000000000e+02 8.000000000000000167e-02
4.000000000000000000e+00 -1.120000000000000000e+02 5.999999999999999778e-02
4.000000000000000000e+00 -8.800000000000000000e+01 2.200000000000000011e-01
4.000000000000000000e+00 -5.600000000000000000e+01 2.200000000000000011e-01
4.000000000000000000e+00 -8.000000000000000000e+01 2.000000000000000042e-02
4.000000000000000000e+00 -1.120000000000000000e+02 1.600000000000000033e-01
4.000000000000000000e+00 -7.200000000000000000e+01 5.999999999999999778e-02
3.950000000000000178e+00 -2.160000000000000000e+02 1.199999999999999956e-01
3.950000000000000178e+00 -1.440000000000000000e+02 2.399999999999999911e-01
3.950000000000000178e+00 -1.680000000000000000e+02 2.399999999999999911e-01
3.950000000000000178e+00 -1.360000000000000000e+02 2.000000000000000042e-02
3.950000000000000178e+00 -1.200000000000000000e+02 1.400000000000000133e-01
3.950000000000000178e+00 -1.120000000000000000e+02 1.400000000000000133e-01
3.950000000000000178e+00 -1.200000000000000000e+02 1.000000000000000056e-01
3.950000000000000178e+00 -8.000000000000000000e+01 0.000000000000000000e+00
3.950000000000000178e+00 -1.200000000000000000e+02 1.799999999999999933e-01
3.950000000000000178e+00 -2.000000000000000000e+02 2.399999999999999911e-01
3.950000000000000178e+00 -8.000000000000000000e+01 8.000000000000000167e-02
3.950000000000000178e+00 -4.000000000000000000e+01 2.600000000000000089e-01
3.950000000000000178e+00 -1.760000000000000000e+02 2.600000000000000089e-01
3.950000000000000178e+00 -1.040000000000000000e+02 4.000000000000000083e-02
3.950000000000000178e+00 -1.840000000000000000e+02 1.000000000000000056e-01
3.950000000000000178e+00 -1.280000000000000000e+02 3.200000000000000067e-01
3.950000000000000178e+00 -1.760000000000000000e+02 2.200000000000000011e-01
3.950000000000000178e+00 -9.600000000000000000e+01 1.400000000000000133e-01
3.950000000000000178e+00 -1.040000000000000000e+02 1.000000000000000056e-01
3.950000000000000178e+00 -1.360000000000000000e+02 3.200000000000000067e-01
3.900000000000000355e+00 -1.200000000000000000e+02 2.399999999999999911e-01
3.900000000000000355e+00 -1.760000000000000000e+02 4.400000000000000022e-01
